Month,Date,RentDays,ParkingDays,MGEDays,RentRatio,ParkingRatio,MGERatio,RentTotal,ParkingTotal,MGETotal,MiscTotal,UserTotal
1,2015/08/01,9,0,0,0.2903225806451613,0,0,121.20967741935485,0,0,0,121.20967741935485
2,2015/09/01,30,0,25,1,0,0.8620689655172413,417.5,0,25.54741379310345,0,443.04741379310343
3,2015/10/01,31,0,28,1,0,1,417.5,0,25.745,0,443.245
4,2015/11/01,30,0,29,1,0,1,417.5,0,25.215,0,442.715
5,2015/12/01,31,0,28,1,0,1,417.5,0,24.05,0,441.55
6,2016/01/01,31,0,29,1,0,1,417.5,0,24.13,0,441.63
7,2016/02/01,29,0,29,1,0,1,417.5,0,20.24,0,437.74
8,2016/03/01,31,0,27,1,0,1,417.5,0,22.69,0,440.19
9,2016/04/01,30,0,29,1,0,1,417.5,0,25,0,442.5
10,2016/05/01,31,0,28,1,0,1,417.5,0,27.68,0,445.18
11,2016/06/01,30,0,29,1,0,1,417.5,0,25.945,0,443.445
12,2016/07/01,31,0,28,1,0,1,417.5,0,25.88,0,443.38
13,2016/08/01,31,31,29,1,1,1,430,0,29.505,0,459.505
14,2016/09/01,30,30,29,1,1,1,430,25,28.44,0,483.44
15,2016/10/01,31,31,28,1,1,1,430,12.5,29.52,0,472.02
16,2016/11/01,30,30,29,1,1,1,430,12.5,25.97,0,468.47
17,2016/12/01,31,31,28,1,1,1,430,12.5,23.89,0,466.39
18,2017/01/01,31,31,29,1,1,1,430,12.5,27.39,0,469.89
19,2017/02/01,28,28,29,1,1,1,430,12.5,22.71,0,465.21
20,2017/03/01,31,31,26,1,1,1,430,12.5,24.06,0,466.56
21,2017/04/01,30,30,29,1,1,1,430,12.5,24.14,0,466.64
22,2017/05/01,31,31,28,1,1,1,430,12.5,26.78,0,469.28
23,2017/06/01,30,30,29,1,1,1,430,12.5,24.51,0,467.01
24,2017/07/01,31,31,28,1,1,1,451.5,12.5,24.49,0,488.49
25,2017/08/01,31,31,29,1,1,1,451.5,12.5,28,0,492
26,2017/09/01,30,30,29,1,1,1,451.5,12.5,28,0,492
27,2017/10/01,31,31,28,1,1,1,451.5,12.5,28,0,492
28,2017/11/01,30,30,29,1,1,1,451.5,12.5,28,0,492
29,2017/12/01,31,31,28,1,1,1,451.5,12.5,28,0,492
30,2018/01/01,31,31,29,1,1,1,451.5,12.5,28,0,492
31,2018/02/01,28,28,29,1,1,1,451.5,12.5,25.5,0,489.5
32,2018/03/01,31,31,26,1,1,1,451.5,12.5,25.5,0,489.5
33,2018/04/01,30,30,29,1,1,1,451.5,12.5,25.5,0,489.5
34,2018/05/01,31,31,28,1,1,1,451.5,12.5,25.5,0,489.5
35,2018/06/01,30,30,29,1,1,1,474,12.5,0,0,486.5
36,2018/07/01,31,31,28,1,1,1,474,12.5,18.13,0,504.63
37,2018/08/01,31,31,29,1,1,1,474,12.5,25,9.49,520.99
38,2018/09/01,30,30,29,1,1,1,474,12.5,25,0,511.5
39,2018/10/01,31,31,28,1,1,1,474,12.5,0,0,486.5
40,2018/11/01,30,30,29,1,1,1,0,0,0,0,0
41,2018/12/01,31,31,28,1,1,1,0,0,0,0,0
42,2019/01/01,31,31,29,1,1,1,0,0,0,0,0
43,2019/02/01,28,28,29,1,1,1,0,0,0,0,0
44,2019/03/01,31,31,26,1,1,1,0,0,0,0,0
45,2019/04/01,30,30,29,1,1,1,0,0,0,0,0
46,2019/05/01,31,31,28,1,1,1,0,0,0,0,0
47,2019/06/01,30,30,29,1,1,1,0,0,0,0,0
48,2019/07/01,31,31,28,1,1,1,0,0,0,0,0
