Month,Date,TotalUsers,Akire_TableID,Julian_TableID,Difference
1,2015/08/01,2,Table5,Table58,296.2903225806451
2,2015/09/01,2,Table5,Table58,4.08758620689656
3,2015/10/01,2,Table5,Table58,0
4,2015/11/01,2,Table5,Table58,0
5,2015/12/01,2,Table5,Table58,0
6,2016/01/01,2,Table5,Table58,0
7,2016/02/01,2,Table5,Table58,0
8,2016/03/01,2,Table5,Table58,0
9,2016/04/01,2,Table5,Table58,0
10,2016/05/01,2,Table5,Table58,0
11,2016/06/01,2,Table5,Table58,0
12,2016/07/01,2,Table5,Table58,0
13,2016/08/01,2,Table5,Table58,0
14,2016/09/01,2,Table5,Table58,0
15,2016/10/01,2,Table5,Table58,0
16,2016/11/01,2,Table5,Table58,0
17,2016/12/01,2,Table5,Table58,0
18,2017/01/01,2,Table5,Table58,0
19,2017/02/01,2,Table5,Table58,0
20,2017/03/01,2,Table5,Table58,0
21,2017/04/01,2,Table5,Table58,0
22,2017/05/01,2,Table5,Table58,0
23,2017/06/01,2,Table5,Table58,0
24,2017/07/01,2,Table5,Table58,0
25,2017/08/01,2,Table5,Table58,0
26,2017/09/01,2,Table5,Table58,0
27,2017/10/01,2,Table5,Table58,0
28,2017/11/01,2,Table5,Table58,0
29,2017/12/01,2,Table5,Table58,0
30,2018/01/01,2,Table5,Table58,0
31,2018/02/01,2,Table5,Table58,0
32,2018/03/01,2,Table5,Table58,0
33,2018/04/01,2,Table5,Table58,0
34,2018/05/01,2,Table5,Table58,0
35,2018/06/01,2,Table5,Table58,0
36,2018/07/01,2,Table5,Table58,0
37,2018/08/01,2,Table5,Table58,0
38,2018/09/01,2,Table5,Table58,0
39,2018/10/01,2,Table5,Table58,0
40,2018/11/01,2,Table5,Table58,0
41,2018/12/01,2,Table5,Table58,0
42,2019/01/01,2,Table5,Table58,0
43,2019/02/01,2,Table5,Table58,0
44,2019/03/01,2,Table5,Table58,0
45,2019/04/01,2,Table5,Table58,0
46,2019/05/01,2,Table5,Table58,0
47,2019/06/01,2,Table5,Table58,0
48,2019/07/01,2,Table5,Table58,0
